article,case,n_countries,countries,n_rows
6485,764850,1,Portugal,2
6559,765590,1,U.s.,1
6578,765780,1,Croatia,1
6774,767740,1,Australia,2
6908,769080,1,Norway,1
6971,769710,1,New Zealand,1
7412,874120,1,Germany,2
7544,875440,1,New Zealand,2
7544,875441,1,New Zealand,2
7663,876630,1,Spain,1
7663,876631,1,Spain,1
7663,876632,1,Spain,1
7663,876633,1,Spain,1
7804,878040,1,Greek,1
7836,878360,1,South Korea,2
7866,878660,1,Spain,2
8145,981450,1,"Hong Kong, China",1
8202,982020,1,Italy,2
8202,982021,1,Italy,2
8834,988340,1,U.s.,1
8875,988750,1,Finland,3
8875,988751,1,Finland,3
8876,988760,1,Finland,3
8876,988761,1,Finland,3
8880,988800,1,Slovakia,1
8880,988801,1,Slovakia,1
8903,989030,1,Spain,2
8903,989031,1,Spain,2
8903,989032,1,Spain,2
8904,989040,1,Spain,2
8904,989041,1,Spain,2
8904,989042,1,Spain,2
9112,1091120,1,U.s.,1
9235,1092350,1,China,1
9235,1092351,1,China,1
9235,1092352,1,China,1
9243,1092430,1,China,3
9248,1092480,1,China,2
9285,1092850,1,U.s.,2
9333,1093330,1,Israel,1
9333,1093331,1,Israel,1
9333,1093332,1,Israel,1
9603,1096030,1,England,2
9603,1096031,1,Germany,2
9603,1096032,1,Netherlands,2
9603,1096033,1,Sweden,2
9693,1096930,1,Germany,3
9724,1097240,1,Netherlands,2
10118,11101180,1,Germany,1
10118,11101181,1,Germany,1
10300,11103000,1,U.s.,2
10300,11103001,1,U.s.,2
10440,11104400,1,Netherlands,1
10792,11107920,1,China,2
10860,11108600,1,Austria,2
10994,11109940,1,U.s.,2
10994,11109941,1,U.s.,2
11046,11110460,1,U.s.,5
11191,12111910,1,Germany,3
11206,12112060,1,China,2
11206,12112061,1,China,2
11234,12112340,1,China,2
11522,12115220,1,U.s.,3
11522,12115221,1,U.s.,3
11522,12115222,1,China,3
11522,12115223,1,China,3
11522,12115224,1,U.s.,2
11522,12115225,1,U.s.,2
11522,12115226,1,China,2
11522,12115227,1,China,2
11523,13115230,1,Uk,4
11523,13115231,1,Uk,4
11524,13115240,1,U.s.,3
11524,13115241,1,U.s.,3
11526,13115260,1,U.s.,2
11526,13115261,1,U.s.,2
11527,13115270,1,Germany,1
11527,13115271,1,Germany,1
11529,13115290,1,Switzerland,3
11531,13115310,1,Taiwan,1
11532,13115320,1,China,1
11532,13115321,1,China,1
11532,13115322,1,China,1
11532,13115323,1,China,1
11533,13115330,1,Taiwan,3
11534,13115340,1,Taiwan,1
11536,13115360,1,Australia,3
11537,13115370,1,U.s.,1
11539,13115390,1,Finnland,1
11539,13115391,1,Finnland,1
11541,13115410,1,U.s.,1
11541,13115411,1,U.s.,1
11543,13115430,1,Switzerland,1
11544,13115440,1,U.s.,3
11544,13115441,1,U.s.,3
11545,13115450,1,U.s.,1
11547,13115470,1,U.s.,1
11547,13115471,1,U.s.,1
11548,13115480,1,Japan,2
11548,13115481,1,Japan,2
11551,13115510,1,China,1
11551,13115511,1,China,1
11551,13115512,1,China,1
11551,13115513,1,China,1
11552,13115520,1,China,1
11552,13115521,1,China,1
11552,13115522,1,China,1
11553,13115530,1,New Zealand,2
11553,13115531,1,New Zealand,2
11554,13115540,1,Korea,3
11560,13115600,1,U.s.,1
11560,13115601,1,U.s.,1
11560,13115602,1,U.s.,1
11562,13115620,1,China,2
11564,13115640,1,Portugal,1
11565,13115650,1,Australia,1
11566,13115660,1,Australia,2
11566,13115661,1,Australia,2
11567,13115670,1,Australia,1
11567,13115671,1,Australia,1
11567,13115672,1,Australia,1
11567,13115673,1,Australia,1
11568,13115680,1,U.s.,2
11573,13115730,1,Australia,2
11574,13115740,1,U.s.,2
11574,13115741,1,U.s.,2
11577,13115770,1,U.s.,1
11578,13115780,1,China,1
11578,13115781,1,China,1
11578,13115782,1,China,1
11578,13115783,1,China,1
11578,13115784,1,China,1
11578,13115785,1,China,1
11579,13115790,1,U.s.,1
11580,13115800,1,China,2
11582,13115820,1,China,2
11583,13115830,1,U.s.,1
11584,13115840,1,Netherlands,1
11584,13115841,1,Netherlands,1
11586,13115860,1,U.s.,2
11586,13115861,1,U.s.,2
11586,13115862,1,U.s.,2
11586,13115863,1,U.s.,2
11586,13115864,1,U.s:,2
11586,13115865,1,U.s:,2
11586,13115866,1,U.s:,2
11586,13115867,1,U.s:,2
11587,13115870,1,Australia,1
11587,13115871,1,Australia,1
11587,13115872,1,Australia,1
11587,13115873,1,Australia,1
11587,13115874,1,Australia,1
11587,13115875,1,Australia,1
11587,13115876,1,Australia,1
11587,13115877,1,Australia,1
11587,13115878,1,Australia,1
11588,13115880,1,Maxico,5
11591,13115910,1,China,2
11591,13115911,1,China,2
11593,13115930,1,China,1
11594,13115940,1,China,5
